"cuenta";"iniciodeuda";"iniciofechadeuda";"ultimafechadeuda";"idciclo"
50;2023;"2023-01-02";"2023-02-01";83
125;2023;"2023-02-01";"2023-02-01";83
316;2023;"2023-02-01";"2023-02-01";83
317;2023;"2023-02-01";"2023-02-01";83
333;2020;"2020-11-09";"2023-02-01";83
347;2019;"2019-08-01";"2023-02-01";83
397;2022;"2022-07-01";"2023-02-01";83
418;2023;"2023-01-02";"2023-02-01";83
432;2022;"2022-12-01";"2023-02-01";83
561;2023;"2023-02-01";"2023-02-01";83
582;2023;"2023-02-01";"2023-02-01";83
664;2023;"2023-02-01";"2023-02-01";83
684;2021;"2021-11-04";"2023-02-01";83
912;2023;"2023-02-01";"2023-02-01";83
939;2023;"2023-02-01";"2023-02-01";83
1045;2023;"2023-01-02";"2023-02-01";83
1130;2022;"2022-04-01";"2023-02-01";83
1132;2023;"2023-01-02";"2023-02-01";83
1206;2023;"2023-02-01";"2023-02-01";83
1246;2022;"2022-10-01";"2023-02-01";83
1255;2023;"2023-02-01";"2023-02-01";83
1315;2021;"2021-03-01";"2023-02-01";83
1322;2023;"2023-02-01";"2023-02-01";83
1369;2020;"2020-02-03";"2023-02-01";83
1407;2022;"2022-12-01";"2023-02-01";83
1573;2021;"2021-04-06";"2023-02-01";83
1584;2023;"2023-02-01";"2023-02-01";83
1619;2010;"2010-10-08";"2023-02-01";83
1620;2023;"2023-02-01";"2023-02-01";83
1621;2022;"2022-11-02";"2023-02-01";83
1645;2023;"2023-01-02";"2023-02-01";83
1646;2021;"2021-06-01";"2023-02-01";83
1649;2023;"2023-02-01";"2023-02-01";83
1650;2023;"2023-01-02";"2023-02-01";83
1656;2022;"2022-09-01";"2023-02-01";83
1668;2020;"2020-02-03";"2023-02-01";83
1669;2021;"2021-03-01";"2023-02-01";83
1680;2023;"2023-02-01";"2023-02-01";83
1691;2023;"2023-02-01";"2023-02-01";83
1716;2022;"2022-08-01";"2023-02-01";83
1744;2023;"2023-01-02";"2023-02-01";83
1789;2019;"2019-02-08";"2023-02-01";83
1790;2012;"2012-07-28";"2023-02-01";83
1800;2022;"2022-12-01";"2023-02-01";83
1902;2023;"2023-02-01";"2023-02-01";83
1942;2023;"2023-01-02";"2023-02-01";83
1956;2023;"2023-02-01";"2023-02-01";83
1985;2023;"2023-02-01";"2023-02-01";83
1986;2023;"2023-02-01";"2023-02-01";83
1988;2022;"2022-06-01";"2023-02-01";83
1991;2022;"2022-09-01";"2023-02-01";83
2019;2023;"2023-02-01";"2023-02-01";83
2063;2023;"2023-02-01";"2023-02-01";83
2078;2023;"2023-02-01";"2023-02-01";83
2102;2022;"2022-12-01";"2023-02-01";83
2344;2021;"2021-09-01";"2023-02-01";83
2348;2023;"2023-02-01";"2023-02-01";83
2369;2023;"2023-02-01";"2023-02-01";83
2378;2020;"2020-11-09";"2023-02-01";83
2385;2014;"2014-08-29";"2023-02-01";83
2390;2019;"2019-02-08";"2023-02-01";83
2391;2022;"2022-10-01";"2023-02-01";83
2392;2020;"2020-10-01";"2023-02-01";83
2398;2019;"2019-02-08";"2023-02-01";83
2405;2023;"2023-02-01";"2023-02-01";83
2406;2023;"2023-02-01";"2023-02-01";83
2450;2023;"2023-02-01";"2023-02-01";83
2451;2023;"2023-02-01";"2023-02-01";83
2452;2020;"2020-12-08";"2023-02-01";83
2493;2022;"2022-08-01";"2023-02-01";83
2495;2022;"2022-08-01";"2023-02-01";83
2496;2023;"2023-02-01";"2023-02-01";83
2498;2023;"2023-02-01";"2023-02-01";83
2511;2023;"2023-01-02";"2023-02-01";83
2702;2022;"2022-11-02";"2023-02-01";83
2725;2017;"2017-02-01";"2023-02-01";83
2726;2023;"2023-02-01";"2023-02-01";83
2751;2023;"2023-02-01";"2023-02-01";83
2753;2022;"2022-07-01";"2023-02-01";83
3010;2022;"2022-10-01";"2023-02-01";83
3011;2023;"2023-02-01";"2023-02-01";83
3039;2023;"2023-02-01";"2023-02-01";83
3040;2023;"2023-01-02";"2023-02-01";83
3195;2020;"2020-09-01";"2023-02-01";83
3198;2022;"2022-11-02";"2023-02-01";83
3199;2023;"2023-02-01";"2023-02-01";83
3201;2022;"2022-10-01";"2023-02-01";83
3202;2023;"2023-02-01";"2023-02-01";83
3279;2022;"2022-12-01";"2023-02-01";83
3409;2023;"2023-02-01";"2023-02-01";83
3424;2022;"2022-11-02";"2023-02-01";83
3425;2023;"2023-02-01";"2023-02-01";83
3435;2023;"2023-02-01";"2023-02-01";83
3438;2014;"2014-07-31";"2023-02-01";83
3507;2023;"2023-01-02";"2023-02-01";83
3518;2023;"2023-02-01";"2023-02-01";83
3519;2023;"2023-02-01";"2023-02-01";83
3524;2023;"2023-01-02";"2023-02-01";83
3526;2021;"2021-11-04";"2023-02-01";83
3531;2022;"2022-11-02";"2023-02-01";83
3532;2022;"2022-11-02";"2023-02-01";83
3533;2022;"2022-10-01";"2023-02-01";83
3535;2015;"2015-02-20";"2023-02-01";83
3560;2020;"2020-07-01";"2023-02-01";83
3607;2023;"2023-02-01";"2023-02-01";83
3629;2023;"2023-02-01";"2023-02-01";83
3630;2023;"2023-02-01";"2023-02-01";83
3645;2023;"2023-02-01";"2023-02-01";83
3678;2022;"2022-07-01";"2023-02-01";83
3705;2022;"2022-06-01";"2023-02-01";83
3717;2023;"2023-02-01";"2023-02-01";83
3747;2022;"2022-11-02";"2023-02-01";83
3759;2022;"2022-09-01";"2023-02-01";83
3767;2022;"2022-12-01";"2023-02-01";83
3871;2021;"2021-12-01";"2023-02-01";83
3918;2023;"2023-02-01";"2023-02-01";83
3928;2022;"2022-12-01";"2023-02-01";83
3940;2022;"2022-07-01";"2023-02-01";83
3978;2023;"2023-02-01";"2023-02-01";83
3981;2023;"2023-02-01";"2023-02-01";83
3983;2023;"2023-02-01";"2023-02-01";83
3993;2023;"2023-02-01";"2023-02-01";83
4042;2023;"2023-02-01";"2023-02-01";83
4149;2022;"2022-03-02";"2023-02-01";83
4150;2023;"2023-02-01";"2023-02-01";83
4152;2023;"2023-02-01";"2023-02-01";83
4370;2007;"2007-04-01";"2023-02-01";83
4374;2021;"2021-02-01";"2023-02-01";83
4409;2023;"2023-01-02";"2023-02-01";83
4410;2019;"2019-10-01";"2023-02-01";83
4411;2022;"2022-11-02";"2023-02-01";83
4413;2023;"2023-02-01";"2023-02-01";83
4446;2023;"2023-02-01";"2023-02-01";83
4453;2023;"2023-02-01";"2023-02-01";83
4532;2023;"2023-02-01";"2023-02-01";83
4533;2022;"2022-12-01";"2023-02-01";83
4570;2023;"2023-02-01";"2023-02-01";83
4648;2023;"2023-02-01";"2023-02-01";83
4720;2022;"2022-12-01";"2023-02-01";83
4739;2023;"2023-02-01";"2023-02-01";83
4817;2020;"2020-07-01";"2023-02-01";83
4862;2023;"2023-02-01";"2023-02-01";83
4939;2023;"2023-02-01";"2023-02-01";83
4945;2023;"2023-02-01";"2023-02-01";83
4948;2022;"2022-04-01";"2023-02-01";83
4949;2022;"2022-07-01";"2023-02-01";83
5082;2022;"2022-05-03";"2023-02-01";83
5113;2023;"2023-01-02";"2023-02-01";83
5173;2023;"2023-02-01";"2023-02-01";83
5174;2023;"2023-02-01";"2023-02-01";83
5212;2022;"2022-09-01";"2023-02-01";83
5241;2023;"2023-02-01";"2023-02-01";83
5242;2023;"2023-02-01";"2023-02-01";83
5322;2023;"2023-02-01";"2023-02-01";83
5345;2023;"2023-02-01";"2023-02-01";83
5371;2023;"2023-02-01";"2023-02-01";83
5375;2023;"2023-02-01";"2023-02-01";83
5395;2021;"2021-12-01";"2023-02-01";83
5427;2023;"2023-02-01";"2023-02-01";83
5452;2023;"2023-02-01";"2023-02-01";83
5528;2023;"2023-02-01";"2023-02-01";83
5532;2023;"2023-02-01";"2023-02-01";83
5543;2023;"2023-02-01";"2023-02-01";83
5584;2023;"2023-02-01";"2023-02-01";83
5588;2022;"2022-12-01";"2023-02-01";83
5601;2023;"2023-02-01";"2023-02-01";83
5607;2023;"2023-02-01";"2023-02-01";83
5608;2023;"2023-02-01";"2023-02-01";83
5673;2021;"2021-02-01";"2023-02-01";83
5685;2021;"2021-08-02";"2023-02-01";83
5692;2022;"2022-11-02";"2023-02-01";83
5693;2023;"2023-01-02";"2023-02-01";83
5706;2023;"2023-02-01";"2023-02-01";83
5708;2023;"2023-02-01";"2023-02-01";83
5731;2023;"2023-02-01";"2023-02-01";83
5732;2023;"2023-01-02";"2023-02-01";83
5733;2022;"2022-12-01";"2023-02-01";83
5793;2023;"2023-01-02";"2023-02-01";83
5830;2021;"2021-05-04";"2023-02-01";83
5852;2019;"2019-10-31";"2023-02-01";83
5860;2018;"2018-07-09";"2023-02-01";83
5861;2023;"2023-02-01";"2023-02-01";83
5862;2023;"2023-01-02";"2023-02-01";83
5899;2023;"2023-02-01";"2023-02-01";83
5916;2023;"2023-02-01";"2023-02-01";83
5917;2023;"2023-02-01";"2023-02-01";83
5918;2023;"2023-02-01";"2023-02-01";83
5919;2018;"2018-12-28";"2023-02-01";83
5921;2023;"2023-02-01";"2023-02-01";83
5922;2021;"2021-04-06";"2023-02-01";83
5923;2022;"2022-12-01";"2023-02-01";83
6001;2021;"2021-01-02";"2023-02-01";83
6020;2023;"2023-02-01";"2023-02-01";83
6036;2021;"2021-10-01";"2023-02-01";83
6147;2021;"2021-12-01";"2023-02-01";83
6148;2021;"2021-12-01";"2023-02-01";83
6149;2022;"2022-09-01";"2023-02-01";83
6164;2023;"2023-01-02";"2023-02-01";83
6218;2022;"2022-11-02";"2023-02-01";83
6290;2022;"2022-12-01";"2023-02-01";83
6405;2022;"2022-11-02";"2023-02-01";83
6408;2023;"2023-02-01";"2023-02-01";83
6563;2022;"2022-11-02";"2023-02-01";83
6606;2023;"2023-02-01";"2023-02-01";83
6637;2023;"2023-02-01";"2023-02-01";83
6692;2023;"2023-02-01";"2023-02-01";83
6749;2023;"2023-02-01";"2023-02-01";83
6818;2022;"2022-03-02";"2023-02-01";83
6895;2022;"2022-05-03";"2023-02-01";83
6975;2022;"2022-11-02";"2023-02-01";83
6999;2022;"2022-06-01";"2023-02-01";83
7068;2023;"2023-02-01";"2023-02-01";83
7111;2022;"2022-12-01";"2023-02-01";83
7112;2022;"2022-12-01";"2023-02-01";83
7144;2022;"2022-12-01";"2023-02-01";83
7158;2023;"2023-02-01";"2023-02-01";83
7161;2023;"2023-02-01";"2023-02-01";83
7205;2023;"2023-01-02";"2023-02-01";83
7304;2020;"2020-10-01";"2023-02-01";83
7305;2023;"2023-02-01";"2023-02-01";83
7310;2023;"2023-01-02";"2023-02-01";83
7325;2023;"2023-01-02";"2023-02-01";83
7620;2022;"2022-12-01";"2023-02-01";83
7638;2023;"2023-02-01";"2023-02-01";83
7639;2022;"2022-07-01";"2023-02-01";83
7640;2022;"2022-07-01";"2023-02-01";83
7641;2023;"2023-02-01";"2023-02-01";83
7642;2023;"2023-02-01";"2023-02-01";83
7644;2023;"2023-02-01";"2023-02-01";83
7650;2019;"2019-12-02";"2023-02-01";83
7651;2023;"2023-01-02";"2023-02-01";83
7664;2023;"2023-01-02";"2023-02-01";83
7710;2021;"2021-09-01";"2023-02-01";83
7711;2021;"2021-09-01";"2023-02-01";83
7712;2023;"2023-02-01";"2023-02-01";83
7713;2022;"2022-11-02";"2023-02-01";83
7714;2023;"2023-02-01";"2023-02-01";83
7726;2019;"2019-04-04";"2023-02-01";83
7783;2021;"2021-04-06";"2023-02-01";83
7792;2023;"2023-02-01";"2023-02-01";83
7793;2023;"2023-02-01";"2023-02-01";83
7802;2011;"2011-12-01";"2023-02-01";83
7818;2023;"2023-02-01";"2023-02-01";83
7826;2023;"2023-02-01";"2023-02-01";83
7879;2023;"2023-02-01";"2023-02-01";83
7880;2023;"2023-01-02";"2023-02-01";83
7881;2023;"2023-01-02";"2023-02-01";83
7882;2023;"2023-01-02";"2023-02-01";83
7910;2002;"2002-01-01";"2023-02-01";83
7911;2023;"2023-02-01";"2023-02-01";83
7931;2023;"2023-02-01";"2023-02-01";83
7932;2023;"2023-02-01";"2023-02-01";83
7938;2023;"2023-01-02";"2023-02-01";83
7996;2023;"2023-01-02";"2023-02-01";83
8019;2023;"2023-02-01";"2023-02-01";83
8026;2021;"2021-11-04";"2023-02-01";83
8114;2022;"2022-06-01";"2023-02-01";83
8148;2023;"2023-01-02";"2023-02-01";83
8149;2023;"2023-02-01";"2023-02-01";83
8152;2022;"2022-10-01";"2023-02-01";83
8184;2018;"2018-12-28";"2023-02-01";83
8238;2021;"2021-05-04";"2023-02-01";83
8240;2020;"2020-12-02";"2023-02-01";83
8241;2023;"2023-01-02";"2023-02-01";83
8263;2022;"2022-02-01";"2023-02-01";83
8264;2011;"2011-11-22";"2023-02-01";83
8265;2011;"2011-12-01";"2023-02-01";83
8267;2023;"2023-02-01";"2023-02-01";83
8268;2023;"2023-02-01";"2023-02-01";83
8269;2023;"2023-02-01";"2023-02-01";83
9140;2023;"2023-02-01";"2023-02-01";83
9939;2023;"2023-02-01";"2023-02-01";83
9940;2023;"2023-01-02";"2023-02-01";83
9941;2022;"2022-12-01";"2023-02-01";83
9943;2022;"2022-11-02";"2023-02-01";83
9944;2022;"2022-09-01";"2023-02-01";83
9945;2021;"2021-02-01";"2023-02-01";83
9948;2022;"2022-12-01";"2023-02-01";83
9949;2023;"2023-02-01";"2023-02-01";83
9951;2023;"2023-01-02";"2023-02-01";83
9952;2022;"2022-08-01";"2023-02-01";83
9953;2023;"2023-02-01";"2023-02-01";83
9954;2022;"2022-10-01";"2023-02-01";83
9956;2022;"2022-06-01";"2023-02-01";83
9957;2023;"2023-01-02";"2023-02-01";83
9960;2023;"2023-02-01";"2023-02-01";83
9965;2023;"2023-02-01";"2023-02-01";83
9974;2023;"2023-02-01";"2023-02-01";83
9975;2022;"2022-11-02";"2023-02-01";83
9978;2022;"2022-11-02";"2023-02-01";83
9980;2022;"2022-09-01";"2023-02-01";83
9981;2022;"2022-11-02";"2023-02-01";83
9984;2023;"2023-02-01";"2023-02-01";83
9985;2023;"2023-01-02";"2023-02-01";83
9988;2002;"2002-03-01";"2023-02-01";83
9989;2022;"2022-08-01";"2023-02-01";83
9991;2023;"2023-02-01";"2023-02-01";83
9994;2023;"2023-02-01";"2023-02-01";83
9995;2015;"2015-10-05";"2023-02-01";83
9996;2023;"2023-02-01";"2023-02-01";83
9999;2023;"2023-02-01";"2023-02-01";83
10001;2023;"2023-01-02";"2023-02-01";83
10002;2023;"2023-02-01";"2023-02-01";83
10003;2023;"2023-02-01";"2023-02-01";83
10004;2022;"2022-11-02";"2023-02-01";83
10005;2005;"2005-07-12";"2023-02-01";83
10007;2023;"2023-02-01";"2023-02-01";83
10008;2002;"2002-06-01";"2023-02-01";83
10009;2002;"2002-01-01";"2023-02-01";83
10011;2023;"2023-02-01";"2023-02-01";83
10012;2022;"2022-01-03";"2023-02-01";83
10014;2022;"2022-05-03";"2023-02-01";83
10018;2023;"2023-02-01";"2023-02-01";83
10019;2022;"2022-11-02";"2023-02-01";83
10025;2023;"2023-02-01";"2023-02-01";83
10028;2010;"2010-10-08";"2023-02-01";83
10029;2020;"2020-09-01";"2023-02-01";83
10034;2023;"2023-02-01";"2023-02-01";83
10038;2022;"2022-01-03";"2023-02-01";83
10040;2023;"2023-02-01";"2023-02-01";83
10041;2023;"2023-01-02";"2023-02-01";83
10043;2022;"2022-08-01";"2023-02-01";83
10044;2023;"2023-02-01";"2023-02-01";83
10045;2022;"2022-08-01";"2023-02-01";83
10048;2023;"2023-02-01";"2023-02-01";83
10049;2022;"2022-02-01";"2023-02-01";83
10050;2022;"2022-08-01";"2023-02-01";83
10060;2022;"2022-11-02";"2023-02-01";83
10063;2023;"2023-02-01";"2023-02-01";83
10066;2022;"2022-09-01";"2023-02-01";83
10067;2023;"2023-01-02";"2023-02-01";83
10068;2022;"2022-07-01";"2023-02-01";83
10069;2023;"2023-02-01";"2023-02-01";83
10070;2020;"2020-01-02";"2023-02-01";83
10071;2022;"2022-10-01";"2023-02-01";83
10072;2022;"2022-10-01";"2023-02-01";83
10076;2023;"2023-01-02";"2023-02-01";83
10083;2021;"2021-02-01";"2023-02-01";83
10087;2023;"2023-02-01";"2023-02-01";83
10089;2006;"2006-11-01";"2023-02-01";83
10090;2023;"2023-02-01";"2023-02-01";83
10096;2023;"2023-02-01";"2023-02-01";83
10110;2022;"2022-09-01";"2023-02-01";83
10115;2023;"2023-02-01";"2023-02-01";83
10117;2019;"2019-04-04";"2023-02-01";83
10123;2023;"2023-02-01";"2023-02-01";83
10124;2002;"2002-08-01";"2023-02-01";83
10125;2023;"2023-02-01";"2023-02-01";83
10126;2023;"2023-01-02";"2023-02-01";83
10130;2022;"2022-12-01";"2023-02-01";83
10131;2023;"2023-02-01";"2023-02-01";83
10132;2023;"2023-02-01";"2023-02-01";83
10133;2023;"2023-02-01";"2023-02-01";83
10135;2018;"2018-11-06";"2023-02-01";83
10137;2023;"2023-02-01";"2023-02-01";83
10138;2023;"2023-02-01";"2023-02-01";83
10139;2022;"2022-05-03";"2023-02-01";83
10141;2002;"2002-01-01";"2023-02-01";83
10143;2023;"2023-02-01";"2023-02-01";83
10146;2011;"2011-11-22";"2023-02-01";83
10147;2023;"2023-02-01";"2023-02-01";83
10148;2022;"2022-09-01";"2023-02-01";83
10149;2022;"2022-08-01";"2023-02-01";83
10150;2023;"2023-02-01";"2023-02-01";83
10151;2023;"2023-01-02";"2023-02-01";83
10154;2023;"2023-02-01";"2023-02-01";83
10158;2021;"2021-05-04";"2023-02-01";83
10161;2023;"2023-02-01";"2023-02-01";83
10162;2022;"2022-04-01";"2023-02-01";83
10163;2022;"2022-06-01";"2023-02-01";83
10164;2023;"2023-02-01";"2023-02-01";83
10165;2023;"2023-02-01";"2023-02-01";83
10166;2023;"2023-01-02";"2023-02-01";83
10167;2008;"2008-07-01";"2023-02-01";83
10171;2020;"2020-10-01";"2023-02-01";83
10176;2022;"2022-10-01";"2023-02-01";83
10178;2020;"2020-10-01";"2023-02-01";83
10179;2023;"2023-02-01";"2023-02-01";83
10183;2022;"2022-04-01";"2023-02-01";83
10184;2023;"2023-02-01";"2023-02-01";83
10185;2023;"2023-02-01";"2023-02-01";83
10186;2023;"2023-02-01";"2023-02-01";83
10187;2023;"2023-02-01";"2023-02-01";83
10188;2023;"2023-02-01";"2023-02-01";83
10189;2022;"2022-10-01";"2023-02-01";83
10190;2018;"2018-03-02";"2023-02-01";83
10191;2021;"2021-01-02";"2023-02-01";83
10192;2023;"2023-01-02";"2023-02-01";83
10193;2022;"2022-07-01";"2023-02-01";83
10194;2022;"2022-11-02";"2023-02-01";83
10197;2022;"2022-02-01";"2023-02-01";83
10199;2023;"2023-02-01";"2023-02-01";83
10200;2022;"2022-12-01";"2023-02-01";83
10208;2023;"2023-01-02";"2023-02-01";83
10209;2023;"2023-02-01";"2023-02-01";83
10210;2022;"2022-10-01";"2023-02-01";83
10211;2023;"2023-01-02";"2023-02-01";83
10213;2023;"2023-02-01";"2023-02-01";83
10214;2023;"2023-02-01";"2023-02-01";83
10217;2023;"2023-02-01";"2023-02-01";83
10218;2019;"2019-02-08";"2023-02-01";83
10220;2007;"2007-03-24";"2023-02-01";83
10221;2022;"2022-12-01";"2023-02-01";83
10223;2020;"2020-03-03";"2023-02-01";83
10224;2019;"2019-06-03";"2023-02-01";83
10225;2022;"2022-12-01";"2023-02-01";83
10226;2020;"2020-08-03";"2023-02-01";83
10228;2010;"2010-10-08";"2023-02-01";83
10230;2023;"2023-02-01";"2023-02-01";83
10232;2023;"2023-02-01";"2023-02-01";83
10233;2023;"2023-02-01";"2023-02-01";83
10350;2002;"2002-03-01";"2023-02-01";83
10474;2022;"2022-08-01";"2023-02-01";83
10478;2022;"2022-09-01";"2023-02-01";83
10677;2023;"2023-02-01";"2023-02-01";83
10786;2023;"2023-02-01";"2023-02-01";83
10858;2022;"2022-10-01";"2023-02-01";83
10884;2022;"2022-05-03";"2023-02-01";83
10910;2022;"2022-12-01";"2023-02-01";83
11063;2021;"2021-03-01";"2023-02-01";83
11067;2023;"2023-01-02";"2023-02-01";83
11068;2023;"2023-02-01";"2023-02-01";83
11070;2023;"2023-02-01";"2023-02-01";83
11073;2023;"2023-02-01";"2023-02-01";83
11079;2023;"2023-02-01";"2023-02-01";83
11080;2023;"2023-02-01";"2023-02-01";83
11081;2023;"2023-02-01";"2023-02-01";83
11086;2023;"2023-02-01";"2023-02-01";83
11089;2022;"2022-12-01";"2023-02-01";83
11094;2022;"2022-12-01";"2023-02-01";83
11101;2018;"2018-02-05";"2023-02-01";83
11162;2022;"2022-11-02";"2023-02-01";83
11192;2023;"2023-02-01";"2023-02-01";83
11197;2023;"2023-02-01";"2023-02-01";83
11267;2021;"2021-08-02";"2023-02-01";83
11372;2023;"2023-02-01";"2023-02-01";83
11393;2023;"2023-02-01";"2023-02-01";83
11547;2023;"2023-02-01";"2023-02-01";83
11614;2023;"2023-02-01";"2023-02-01";83
11616;2023;"2023-02-01";"2023-02-01";83
11622;2023;"2023-02-01";"2023-02-01";83
11670;2022;"2022-03-02";"2023-02-01";83
11698;2023;"2023-01-02";"2023-02-01";83
11699;2023;"2023-02-01";"2023-02-01";83
11711;2023;"2023-02-01";"2023-02-01";83
11727;2023;"2023-01-02";"2023-02-01";83
11747;2022;"2022-12-01";"2023-02-01";83
11763;2023;"2023-02-01";"2023-02-01";83
11764;2020;"2020-03-03";"2023-02-01";83
11766;2023;"2023-02-01";"2023-02-01";83
11767;2023;"2023-02-01";"2023-02-01";83
11768;2022;"2022-08-01";"2023-02-01";83
11773;2023;"2023-02-01";"2023-02-01";83
11780;2023;"2023-01-02";"2023-02-01";83
11799;2020;"2020-07-01";"2023-02-01";83
11819;2022;"2022-11-02";"2023-02-01";83
11826;2023;"2023-01-02";"2023-02-01";83
11848;2023;"2023-02-01";"2023-02-01";83
11872;2022;"2022-06-01";"2023-02-01";83
11901;2022;"2022-03-02";"2023-02-01";83
11920;2023;"2023-02-01";"2023-02-01";83
11940;2014;"2014-06-30";"2023-02-01";83
12038;2023;"2023-02-01";"2023-02-01";83
12111;2022;"2022-06-01";"2023-02-01";83
12113;2023;"2023-02-01";"2023-02-01";83
12116;2023;"2023-02-01";"2023-02-01";83
12126;2023;"2023-02-01";"2023-02-01";83
12131;2023;"2023-02-01";"2023-02-01";83
12144;2023;"2023-02-01";"2023-02-01";83
12147;2022;"2022-12-01";"2023-02-01";83
12160;2022;"2022-09-01";"2023-02-01";83
12166;2022;"2022-09-01";"2023-02-01";83
12177;2023;"2023-02-01";"2023-02-01";83
12227;2023;"2023-02-01";"2023-02-01";83
12228;2022;"2022-10-01";"2023-02-01";83
12229;2023;"2023-01-02";"2023-02-01";83
12237;2023;"2023-02-01";"2023-02-01";83
12241;2022;"2022-09-01";"2023-02-01";83
12253;2022;"2022-06-01";"2023-02-01";83
12272;2023;"2023-01-02";"2023-02-01";83
12274;2023;"2023-01-02";"2023-02-01";83
12275;2022;"2022-10-01";"2023-02-01";83
12276;2023;"2023-02-01";"2023-02-01";83
12287;2023;"2023-02-01";"2023-02-01";83
12288;2023;"2023-02-01";"2023-02-01";83
12295;2020;"2020-01-02";"2023-02-01";83
12296;2023;"2023-02-01";"2023-02-01";83
12300;2023;"2023-02-01";"2023-02-01";83
12325;2021;"2021-08-02";"2023-02-01";83
12334;2023;"2023-02-01";"2023-02-01";83
12357;2023;"2023-02-01";"2023-02-01";83
12420;2023;"2023-02-01";"2023-02-01";83
12496;2022;"2022-05-03";"2023-02-01";83
12723;2022;"2022-05-03";"2023-02-01";83
12814;2023;"2023-01-02";"2023-02-01";83
12907;2023;"2023-02-01";"2023-02-01";83
12919;2023;"2023-02-01";"2023-02-01";83
12921;2022;"2022-09-01";"2023-02-01";83
12945;2022;"2022-05-03";"2023-02-01";83
12946;2022;"2022-05-03";"2023-02-01";83
12961;2023;"2023-02-01";"2023-02-01";83
12963;2023;"2023-01-02";"2023-02-01";83
12968;2022;"2022-05-03";"2023-02-01";83
12969;2023;"2023-01-02";"2023-02-01";83
13060;2022;"2022-11-02";"2023-02-01";83
13061;2022;"2022-11-02";"2023-02-01";83
13093;2023;"2023-02-01";"2023-02-01";83
13114;2011;"2011-11-22";"2023-02-01";83
13311;2022;"2022-10-01";"2023-02-01";83
13332;2023;"2023-02-01";"2023-02-01";83
13348;2023;"2023-01-02";"2023-02-01";83
13358;2022;"2022-10-01";"2023-02-01";83
13360;2022;"2022-08-01";"2023-02-01";83
13419;2022;"2022-11-02";"2023-02-01";83
13468;2022;"2022-08-01";"2023-02-01";83
13539;2023;"2023-02-01";"2023-02-01";83
13568;2023;"2023-01-02";"2023-02-01";83
13613;2022;"2022-10-01";"2023-02-01";83
13670;2018;"2018-01-03";"2023-02-01";83
13671;2017;"2017-12-04";"2023-02-01";83
13673;2023;"2023-01-02";"2023-02-01";83
13687;2022;"2022-12-01";"2023-02-01";83
13688;2022;"2022-12-01";"2023-02-01";83
13735;2022;"2022-09-01";"2023-02-01";83
13737;2023;"2023-02-01";"2023-02-01";83
13738;2022;"2022-08-01";"2023-02-01";83
13846;2023;"2023-02-01";"2023-02-01";83
13958;2017;"2017-05-02";"2023-02-01";83
13981;2023;"2023-02-01";"2023-02-01";83
14109;2023;"2023-02-01";"2023-02-01";83
14162;2023;"2023-02-01";"2023-02-01";83
14209;2023;"2023-02-01";"2023-02-01";83
14210;2023;"2023-02-01";"2023-02-01";83
14243;2023;"2023-01-02";"2023-02-01";83
14251;2023;"2023-01-02";"2023-02-01";83
14278;2018;"2018-12-28";"2023-02-01";83
14279;2021;"2021-05-04";"2023-02-01";83
14288;2022;"2022-04-01";"2023-02-01";83
14403;2023;"2023-02-01";"2023-02-01";83
14456;2023;"2023-02-01";"2023-02-01";83
14462;2023;"2023-01-02";"2023-02-01";83
14481;2013;"2013-06-28";"2023-02-01";83
14486;2023;"2023-02-01";"2023-02-01";83
14516;2023;"2023-01-02";"2023-02-01";83
14523;2023;"2023-02-01";"2023-02-01";83
14555;2023;"2023-02-01";"2023-02-01";83
14621;2021;"2021-06-01";"2023-02-01";83
14630;2023;"2023-02-01";"2023-02-01";83
14631;2021;"2021-05-04";"2023-02-01";83
14646;2023;"2023-02-01";"2023-02-01";83
14647;2022;"2022-12-01";"2023-02-01";83
14651;2023;"2023-02-01";"2023-02-01";83
14674;2023;"2023-01-02";"2023-02-01";83
14675;2020;"2020-06-01";"2023-02-01";83
14676;2022;"2022-03-02";"2023-02-01";83
14681;2021;"2021-05-04";"2023-02-01";83
14682;2023;"2023-02-01";"2023-02-01";83
14717;2003;"2003-05-01";"2023-02-01";83
14763;2023;"2023-02-01";"2023-02-01";83
14775;2018;"2018-07-09";"2023-02-01";83
14776;2022;"2022-09-01";"2023-02-01";83
14797;2023;"2023-02-01";"2023-02-01";83
14903;2023;"2023-02-01";"2023-02-01";83
14904;2023;"2023-01-02";"2023-02-01";83
14905;2018;"2018-07-09";"2023-02-01";83
14958;2021;"2021-10-01";"2023-02-01";83
14959;2022;"2022-06-01";"2023-02-01";83
14961;2022;"2022-12-01";"2023-02-01";83
14962;2022;"2022-08-01";"2023-02-01";83
14972;2023;"2023-02-01";"2023-02-01";83
14975;2022;"2022-08-01";"2023-02-01";83
14976;2022;"2022-11-02";"2023-02-01";83
15022;2023;"2023-02-01";"2023-02-01";83
15063;2022;"2022-03-02";"2023-02-01";83
15080;2023;"2023-02-01";"2023-02-01";83
15097;2019;"2019-03-06";"2023-02-01";83
15118;2022;"2022-10-01";"2023-02-01";83
15193;2023;"2023-01-02";"2023-02-01";83
15269;2022;"2022-11-02";"2023-02-01";83
15284;2022;"2022-05-03";"2023-02-01";83
15346;2022;"2022-08-01";"2023-02-01";83
15370;2023;"2023-01-02";"2023-02-01";83
